Level,Degree,m / pixel,Scale,Tiles
0,360,"156,412",1:500 million,1
1,180,"78,206",1:250 million,4
2,90,"39,103",1:150 million,16
3,45,"19,551",1:70 million,64
4,22.5,"9,776",1:35 million,256
5,11.25,"4,888",1:15 million,"1,024"
6,5.625,"2,444",1:10 million,"4,096"
7,2.813,"1,222",1:4 million,"16,384"
8,1.406,610.984,1:2 million,"65,536"
9,0.703,305.492,1:1 million,"262,144"
10,0.352,152.746,"1:500,000","1,048,576"
11,0.176,76.373,"1:250,000","4,194,304"
12,0.088,38.187,"1:150,000","16,777,216"
13,0.044,19.093,"1:70,000","67,108,864"
14,0.022,9.547,"1:35,000","268,435,456"
15,0.011,4.773,"1:15,000","1,073,741,824"
16,0.005,2.387,"1:8,000","4,294,967,296"
17,0.003,1.193,"1:4,000","17,179,869,184"
18,0.001,0.596,"1:2,000","68,719,476,736"
19,0.0005,0.298,"1:1,000","274,877,906,944"
,,,,
,,,,
